movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,1,5/2/2008,94,91,126,0.20740740740740743,"102,118,668","318,604,126","585,171,547"
The Incredible Hulk,1,6/13/2008,67,70,112,0.027777777777777735,"55,414,050","134,806,913","265,573,859"
Iron Man 2,1,5/7/2010,72,71,124,0.1481481481481482,"128,122,480","312,433,331","621,156,389"
Thor,1,5/6/2011,77,76,113,0.07407407407407413,"65,723,338","181,030,624","449,326,618"
Captain America: The First Avenger,1,7/22/2011,79,75,124,0.037037037037037035,"65,058,524","176,654,505","370,569,776"
The Avengers,1,5/4/2012,91,91,143,0.3518518518518518,"207,438,708","623,357,910","1,515,100,211"
Iron Man 3,2,5/3/2013,79,78,130,0.25925925925925924,"174,144,585","408,992,272","1,215,392,272"
Thor: The Dark World,2,11/8/2013,66,75,111,0.07407407407407413,"85,737,841","206,362,140","644,602,516"
Captain America: The Winter Soldier,2,4/4/2014,90,92,135,0.1481481481481482,"95,023,721","259,746,958","714,401,889"
Guardians of the Galaxy,2,8/1/2014,92,92,121,0.1481481481481482,"94,320,883","333,714,112","770,882,395"
Avengers: Age of Ultron,2,5/1/2015,76,83,141,0.8703703703703705,"191,271,109","459,005,868","1,395,316,979"
Ant-Man,2,7/17/2015,83,85,117,0.0,"57,225,526","180,202,163","518,858,449"
Captain America: Civil War,3,5/6/2016,90,89,146,0.4444444444444445,"179,139,142","408,084,349","1,151,918,521"
Doctor Strange,3,11/4/2016,89,86,115,0.1296296296296296,"85,058,311","232,641,920","676,354,481"
Guardians of the Galaxy Vol. 2,3,5/5/2017,85,87,135,0.25925925925925924,"146,510,104","389,813,101","869,113,101"
Spider-Man: Homecoming,3,7/7/2017,92,87,133,0.16666666666666669,"117,027,503","334,201,140","878,346,440"
Thor: Ragnarok,3,11/3/2017,93,87,130,0.18518518518518517,"122,744,989","315,058,289","850,482,778"
Black Panther,3,2/16/2018,96,79,134,0.25925925925925924,"202,003,951","700,059,566","1,336,494,321"
Avengers: Infinity War,3,4/27/2018,85,91,149,0.6296296296296298,"257,698,183","678,815,482","2,048,359,754"
Ant-Man and the Wasp,3,7/6/2018,87,81,118,0.0,"75,812,205","216,648,740","623,144,660"
Captain Marvel,3,3/8/2019,79,45,124,0.16666666666666669,"153,433,423","426,829,839","1,129,727,388"
Avengers: End Game,3,4/26/2019,94,90,181,1.0,"357,115,007","858,373,000","2,797,800,564"
Spider-Man: Far From Home,3,7/2/2019,90,95,129,0.1111111111111111,"92,579,212","390,532,085","1,132,532,832"
Black Widow,4,7/9/2021,79,91,133,0.25925925925925924,"80,366,312","183,651,655","379,751,655"
Shang-Chi and the Legend of the Ten Rings,4,9/3/2021,91,98,133,0.07407407407407413,"75,388,688","224,543,292","432,243,292"
Eternals,4,11/5/2021,47,78,157,0.25925925925925924,"71,297,219","164,870,264","402,064,929"
Spider-Man: No Way Home,4,12/17/2021,93,98,148,0.25925925925925924,"260,138,569","803,975,784","1,891,108,035"
